strain_slug,strain_category,strain_popularity
ak-47,Hybrid,0.22756379307015095
chemdawg,Hybrid,0.28846413821073164
mr-nice,Indica,0.04001258066385073
super-silver-haze,Sativa,0.21139929537246765
northern-lights--5,Indica,0.013107617095356466
snowcap,Hybrid,0.03452233481671132
blue-cheese,Indica,0.18733325792292133
mk-ultra,Indica,0.0605582393692011
granddaddy-purple,Indica,0.4815249088867492
g-13,Indica,0.14410929727612073
sour-diesel,Sativa,0.6214792763911152
cinderella-99,Hybrid,0.12460926830748688
strawberry-cough,Sativa,0.2469755366784289
la-confidential,Indica,0.13973641302098708
og-kush,Hybrid,0.5785174129078715
haze,Sativa,0.08438976883030175
northern-lights,Indica,0.33111148509770705
white-widow,Hybrid,0.4257782216569507
big-bud,Indica,0.0461401364560601
hash-plant,Indica,0.03693362872143486
white-russian,Hybrid,0.04492897166867608
hindu-kush,Indica,0.09456189769382084
jack-herer,Sativa,0.4871834487020673
green-crack,Sativa,0.4318340455938708
bubba-kush,Indica,0.3158822604362952
purple-urkle,Indica,0.09955277947144657
trainwreck,Hybrid,0.2535665906125073
purple-trainwreck,Hybrid,0.04479378471063094
shiva-skunk,Indica,0.016663861767197027
grape-ape,Indica,0.18802574621821386
skunky-diesel,Hybrid,0.000882853603560107
silver-haze,Sativa,0.08504639119794957
purple-haze,Sativa,0.1499526845646842
kali-mist,Sativa,0.027227756917295932
maui-wowie,Sativa,0.15074173497286605
cracker-jack,Sativa,0.005487486929628291
nyc-diesel,Hybrid,0.07664548737657292
hollands-hope,Indica,0.004381161007667032
afghan-kush,Indica,0.08400627929625533
jack-flash,Hybrid,0.01294484096220007
super-skunk,Indica,0.0656981026924276
jamaican-pearl,Sativa,0.004257009719666392
mexican-sativa,Sativa,0.0056668165678514385
durban-poison,Sativa,0.3430796692609688
orange-velvet,Hybrid,0.006317921100477017
rocklock,Indica,0.002132643236099884
maple-leaf-indica,Indica,0.006000645586697604
skydog,Indica,0.0018981352476542305
super-green-crack,Sativa,0.006591053934078425
purple-afghani,Indica,0.018269551758671967
silver-surfer,Hybrid,0.005490245847139415
jack-kush,Hybrid,0.002160232411211137
afghan-diesel,Hybrid,0.0017022521043643314
fpog,Hybrid,0.16117044316491982
afghani,Indica,0.07939888705267603
misty-kush,Indica,0.0021298843185887585
blueberry-haze,Hybrid,0.02089880014677441
pot-of-gold,Indica,0.013068992250200709
blue-dream,Hybrid,0.9005410237239316
pineapple-thai,Sativa,0.002803060191303341
sour-chocolate,Sativa,0.0003752127815130456
sage-n-sour,Sativa,0.019248967475121462
bubble-gum,Hybrid,0.18077531099897645
bubblegun,Hybrid,0.0006593812851589549
martian-mean-green,Hybrid,0.003906627195753474
jack-the-ripper,Sativa,0.02622902877826856
richie-rich,Hybrid,0.002027804370677121
mako-haze,Sativa,0.0019202065877432328
old-lyme-connecticut-og,Hybrid,0.0
m-39,Indica,0.006450349141011033
grapefruit-haze,Sativa,0.0058682175461635885
kahuna,Indica,0.00014346371057851742
khola,Hybrid,0.0005490245847139416
lions-gate,Indica,0.002176785916277889
mazar-i-sharif,Indica,0.01627485439812835
morning-star,Hybrid,0.0010042459740496222
ogre,Hybrid,0.010649421592943792
purple-cream,Indica,0.008687831242533679
romulan,Indica,0.04641051037215038
seattle-blue,Indica,0.0010125227265829976
sensi-star,Indica,0.058789773244569764
shaman,Sativa,0.0042928756473110214
shark-shock,Indica,0.018059874027826443
master-kush,Indica,0.13446688057473768
hindu-skunk,Indica,0.0033189777658837773
avalon,Hybrid,0.00014898154560076809
romping-goddess,Hybrid,0.0
warlock,Hybrid,0.00399215363859836
white-shark,Sativa,0.0403464096826969
mendocino-purps,Hybrid,0.04145549452216928
kandy-kush,Hybrid,0.07144492786810168
headband,Hybrid,0.14969058740112728
blueberry,Indica,0.2086155476037422
purple-hashplant,Hybrid,0.0015643062288080648
purple-kush,Indica,0.15797009885201446
herojuana,Indica,0.023243880031230943
lamb-s-bread,Sativa,0.061857689516941136
ambrosia,Hybrid,0.004800516469358082
hawaiian-snow,Sativa,0.0144070672430965
chernobyl,Hybrid,0.04192175158154946
shipwreck,Sativa,0.002524409522679681
black-label-kush,Indica,0.0030596395198379963
platinum-purple-kush,Indica,0.06372823558948411
green-dream,Hybrid,0.011512962773926022
hogs-breath,Indica,0.0051371044057153745
a-10,Indica,0.001969867102943489
super-sour-diesel,Sativa,0.07702897691061934
romulan-grapefruit,Hybrid,0.009239614744758746
orange-crush,Hybrid,0.05607499841362243
thc-bomb,Hybrid,0.03796822278810686
hawaiian-delight,Indica,0.0009325141187603633
sour-og,Hybrid,0.07443835336767265
white-rhino,Indica,0.12845244040048445
ogiesel,Hybrid,0.004847418067047213
jillybean,Hybrid,0.06330336229277081
dream-queen,Hybrid,0.03823307886917489
cotton-candy-kush,Hybrid,0.06094448782075865
chemdawg-4,Hybrid,0.03303251936070364
kryptonite,Indica,0.015311992186745609
jack-frost,Hybrid,0.041367209161813266
soul-shine,Hybrid,0.002044357875743873
ed-rosenthal-super-bud,Hybrid,0.004657052758779564
juicy-fruit,Hybrid,0.053175376109429705
dutch-treat,Hybrid,0.06285917657347963
bubbleberry,Hybrid,0.007366309754704644
cherry-kush,Hybrid,0.02712567696938429
super-lemon-haze,Sativa,0.2294702050703386
casey-jones,Sativa,0.020115267573614815
poison-haze,Sativa,0.0006593812851589549
grape-god,Hybrid,0.01825575717111634
organic-diesel,Hybrid,0.0008994071086268592
mazar-x-blueberry,Hybrid,0.017295653877244726
lemon-skunk,Hybrid,0.10462366985689496
orange-kush,Indica,0.05516455563495107
purple-princess,Hybrid,0.0064531080585221575
orange-dream,Hybrid,0.007531844805372164
diesel-duff,Hybrid,0.0005628191722695684
mango-kush,Hybrid,0.1302209065251158
voodoo,Sativa,0.006491732903677913
afwreck,Hybrid,0.0021878215863223908
blue-dragon,Hybrid,0.01392149776113844
pineapple-express,Hybrid,0.4055829454755132
madagascar,Indica,0.0013242804053401607
og-poison,Hybrid,0.0063813762032329
big-budda-cheese,Hybrid,0.01750533160809025
liquid-butter,Indica,0.0012856555601844062
charlottes-web,Sativa,0.038473104692642784
chocolope-kush,Hybrid,0.003451405806417794
blue-train,Hybrid,0.00341829879628429
sweet-tooth,Indica,0.040280195662429887
silverback-gorilla,Indica,0.016487291046485
bc-roadkill,Hybrid,0.0022374821015226465
tropical-tang,Hybrid,0.004756373789180078
hawaiian-fire,Hybrid,0.0010345940666720006
alaskan-thunder-fuck,Sativa,0.15351168815403587
fire-haze,Sativa,0.0016415559191195743
vanilla-kush,Indica,0.03290560915519187
walrus-kush,Hybrid,0.0
arjans-strawberry-haze,Sativa,0.02415432280990231
purple-diesel,Hybrid,0.04157136905763655
berkeley,Sativa,0.00040280195662429887
pineapple,Hybrid,0.0453345325428115
sugar-shack,Hybrid,0.00247750792499055
purple-mr-nice,Indica,0.003385191786150786
neptune-og,Indica,0.0019367600928099852
sage,Hybrid,0.010243860718808371
blue-satellite,Sativa,0.003032050344726743
amnesia-haze,Sativa,0.262563420616287
godberry,Indica,0.004491517708112045
la-jack,Hybrid,0.0
caramelicious,Hybrid,0.002676149985791575
lavender,Indica,0.035372081410137916
black-dhalia,Hybrid,0.003349325858506157
blackberry-hashplant,Indica,0.0001903653082676481
querkle,Indica,0.008458841089110276
mercury-og,Indica,0.00206367029832175
cherry-ak-47,Hybrid,0.02237757993273759
guido-kush,Indica,0.0
hawaiian-thunder-fuck,Hybrid,0.00017105288568977075
afghan-big-bud,Indica,0.0009518265413382404
starry-night,Hybrid,0.002212651843922518
blackberry-kush,Indica,0.10684183953583973
super-blue-dream,Hybrid,0.011402606073481009
sour-grapes,Hybrid,0.034787190897779346
sweet-diesel,Sativa,0.004138376266688002
chocolope,Sativa,0.08377177130780966
grapefruit-kush,Hybrid,0.014368442397940743
sour-apple,Hybrid,0.04471101718529718
cheese,Hybrid,0.10791505844766748
platinum-og,Indica,0.1618436190376344
king-louis,Indica,0.1575314309677455
green-door-kush,Hybrid,0.0004552213893356802
k-train,Indica,0.0030596395198379963
thaidal-wave,Hybrid,0.001252548550050902
lvpk,Hybrid,0.004353571832555778
apollo-11,Hybrid,0.006635196614256432
